	claim	evidence	label
181	Bir Twitter hesabı tarafından 22 Mayıs 2023 tarihinde yapılan paylaşımda Millet İttifakı Cumhurbaşkanı adayı Kemal Kılıçdaroğlu’nun katıldığı Mevzular Açık Mikrofon programında Kılıçdaroğlu, Messi ve Ronaldo’yu birlikte gösteren ve “GOATS” yazan bir pankart açıldığı iddia edildi.	Bir Twitter hesabı tarafından paylaşılan bir videoyla Kemal Kılıçdaroğlu’nun katıldığı Mevzular Açık Mikrofon programında Kılıçdaroğlu’nu Messi ve Ronaldo ile birlikte gösteren bir pankart açıldığı iddia edilmişti. Söz konusu pankart Antalya’da Kılıçdaroğlu’nun CHP’li gençlerle buluştuğu bir etkinlikte açılmış. Kılıçdaroğlu’nun Cumhurbaşkanlığı adaylığı Mart 2023’te açıklanmıştı. Pankartın Oğuzhan Uğur’un programında açılmadığı net olmakla birlikte, Mayıs 2023’te yapılan Cumhurbaşkanlığı seçimleriyle de bir ilgisi mevcut değil.	yanlış
274	Bir Twitter hesabı tarafından 23 Kasım 2021 tarihinde yapılan paylaşımda Pelit şirketler grubunun döviz kurlarında yaşanan dalgalanmalar sebebiyle üretim, satış ve siparişlerini durdurduğu iddia edildi. Paylaşım sosyal medyada birçok hesap tarafından paylaşılıyor.	Bir Twitter hesabı tarafından yapılan paylaşımda Pelit Şirketler Grubu’nun döviz kurlarında yaşanan dalgalanmalar sebebiyle üretim, satış ve siparişlerini durdurduğu iddia edilmişti. Pelit Grubu’na ait olduğu iddia edilen bir açıklama metni ile yayılan iddia üzerine Pelit Şirketler Grubu, kurumsal web adresi ve sosyal medya hesaplarında iddiaların doğru olmadığına dair bir kamuoyu duyurusu yayımladı; Pelit Şirketler Grubu’nun döviz kurlarında yaşanan dalgalanmalar sebebiyle üretim, satış ve sevkiyatları durdurduğuna dair iddialar gerçeği yansıtmıyor.	yanlış
895	Bir Twitter hesabı tarafından 29 Mart 2020 tarihinde yapılan paylaşımda Barack Obama’nın Atatürk portresini takdim ettiği iddia edildi. 	Bir Twitter hesabından yapılan paylaşımda Barack Obama’nın Atatürk’ün portresini takdim ettiği videonun gerçek olduğu iddia edilmişti. İddia incelendiğinde ise videonun Ulusal Portre Galerisi’nde Obama’nın portresinin takdim töreninde çekildiği görünüyor. Atatürk videoya görsel manipülasyon yöntemiyle eklenmiş.	yanlış
69	Dr. Stella Immanuel’in Covid-19 tedavisi ile ilgili iddiaları	Dr. Immanuel komplo teorilerine yatkınlığı ile ünlü.Covid-19 için halihazırda kesinliği kanıtlanmış bir tedavi yöntemi bulunmuyor.Hidroksiklorokinin Covid-19 tedavisindeki etkisi de kanıtlanmış değil.	yanlış
291	Maltepe kaymakamının aşı karşıtı mitinge izin vermediği için sürüldüğü iddiası	Maltepe kaymakamı Meftun Dallı’nın yeni ataması, miting kararına izin vermediğinin açıklanmasından önce yapılmış.Atamanın nedeni, görev süresinin dolması.İçişleri Bakanlığı da iddiaları yalanladı.	yanlış
131	Kinder ürünlerinde salmonella analizinin sıklaştırıldığını gösterdiği iddia edilen belge	Belge orijinal; Elektronik Belge Yönetim Sistemi Evrak Doğrulama üzerinden indirilebiliyor.Kinder’in bağlı olduğu Ferrero da açıklama yayınlayarak “analiz sıklığının artırıldığını” açıkladı.	doğru
300	‘Japonya’da lise mezunu olmayanlar oy kullanamıyor’ iddiası	Japonya’da 18 yaşını geçen her vatandaş oy kullanma hakkına sahip.Eğitim düzeyinin oy kullanım hakkıyla bir bağlantısı yok.Japonya’da 2016 yılından önce oy kullanma yaşı 20’ydi	yanlış
424	"CHP’li Başarır'ın ""Hakimi tanıyorum, adil ve tarafsız karar verir"" cümlesiyle ilgili iddialar"	Başarır “Normalde adil ve tarafsız karar verebilir, ama tabiki geçmişten gelen bir soruşturması var, inanılmaz bir baskı var. O sebeple hakimin iradesi karar verme sürecinde sarih, açık, rahat değil. O yüzden bugün bir ceza verebilir.” diyor.Başarır da yaptığı açıklamada konuşmasının bağlamından koparıldığını belirtti.	yanlış
326	Kamu bankalarının Ahbap'a yapılan yardımları AFAD'a aktardığı iddiası	Kamu bankaları, ‘deprem yardımı’ açıklaması ile yapılan destekleri AFAD’a ya da İçişleri Bakanlığı’na yönlendirmek zorunda değil.2860 sayılı Yardım Toplama Kanunu’na göre dernekler, depremzedeler için AFAD ya da İçişleri Bakanlığı’ndan ayrı olarak bağış kampanyası yürütebilir.Kamu bankalarına gelen deprem bağışlarının AFAD’a aktarılmak zorunda olduğuyla ilgili yasal bir düzenleme yok.Vakıfbank Genel Müdürlüğü, Ahbap ve İçişleri Bakanlığı iddiayı yanlışladı.Ahbap’ın banka hesabına para giriş ve çıkışını sadece dernek yetkilileri düzenleyebiliyor.	yanlış
144	Amerikalı Harris çiftinin Adıyaman’da avladıkları yaban keçileri	Michael Shaun Harris ve Emieblcek Harris, Türkiye’ye gelerek Adıyaman’da yaban keçisi avladı.Avı Tarım ve Orman Bakanlığı da iddiayı doğruladı.	doğru
423	Bir Twitter sayfasından 24 Ağustos 2021 tarihinde yapılan bir paylaşıma göre, Cumhurbaşkanı Recep Tayyip Erdoğan’ın yeni bir yat sahibi olduğu iddia edildi. İlgili paylaşım 500 civarı beğeni aldı.	Bir Twitter adresinden 24 Ağustos 2021 tarihinde yapılan bir paylaşıma göre Cumhurbaşkanı’nın yeni bir yat satın aldığı iddia edilmişti. İlgili yat Alia Yatchs tarafından üretilmiş ve SF Yatchs tarafından satın alınmış. Malumatfuruş’un SF Yatchs’a attığı maile cevap olarak da şirket, yatın Erdoğan için üretilmediğini ve müşterilerinin Ortadoğulu olduğunu belirtmiş.	yanlış
580	Cinsiyet uyum süreci hakkındaki iddialar	Her isteyen kişi, cinsiyet uyum operasyonu geçiremiyor. Kişi transseksüel olduğunu ve cinsiyet değişikliğinin ruh sağlığı açısından zorunluluğunu sağlık raporuyla ispatlarsa mahkeme kararıyla uyum süreci kapsamındaki ameliyatları olabilir.Zeynep Kamil Kadın Doğum Hastanesi’nde cinsiyet uyum operasyonu yapılmıyor.Cerrahpaşa, cinsiyet uyum operasyonu için bekleyenlerin sayısının gerçeği yansıtmadığını söyledi.Cinsiyet uyum sürecine başlamak için 18 yaşını doldurmuş olmak gerekiyor.SGK, cinsiyet uyum sürecinde operasyonların sadece bir kısmını karşılıyor.Kamu kuruluşları cinsiyet uyum operasyonları hakkında açık veri sunmuyor.	yanlış
135	Aşılılar 251 kat daha fazla virüs taşıyor iddiası	İddianın dayandığı makalede tam aşılanmışların aşılanmamışlara göre 251 kat daha fazla viral yük taşıdığına dair bir ifade yoktur.Makalede tam aşılanmış ve Temmuz 2021 tarihinde delta varyantı kapmış vakalar ile 2020 yılı Mart-Nisan ayında Covid-19’un önceki varyantlarla ilişkili vakalar karşılaştırmaktadır.Bu karşılaştırmaya göre delta varyantı kapmış aşılı hastalar geçen sene Covid-19’un eski varyantlarını kapmış hastalara göre 251 kat daha fazla viral yük taşımaktadır.	yanlış
450	Ankara Büyükşehir Belediyesi’nin ağaçları kurutup kestirdiği iddiası	Belediye binasının önünde yer alan ağaçlar, Mansur Yavaş'ın henüz belediye başkanı olmadığı 2018 yılında kurumuşlardı.Ağaçların kuruduğuna dair rapor Orman Genel Müdürlüğü tarafından hazırlanmış.	yanlış
164	Utah'da gizemli bir monolit bulunduğu iddiası	ABD’nin Utah eyaleti Kamu Güvenliği Dairesi ekiplerinin helikopterle koyun saydıkları sırada bir monolite rastladıkları doğru.Monolitle Stanley Kubrick imzalı “2001: A Space Odyssey” filmine gönderme yapılmış olabilir.Uydu görüntülerinde monolit ilk olarak 2016 yılının ekim ayında görülüyor.	doğru
28	İstanbul Havalimanı iddiaları II: Kuşların göç yolları üzerinde mi yer alıyor?	Akdeniz ve Karadeniz üzerindeki göçlerin gösterildiği bir görselde de bahar ve güz aylarında İstanbul Boğazı üzerinden 2 milyon leylek ve yırtıcı kuşun geçtiği ifade ediliyor.“İstanbul’un Geleceğini Etkileyecek Üç Proje” isimli çalışmada Doç. Dr. Zeynel Arslangündoğdu'nun yazdığı makalede İstanbul Havalimanı’nın kuş göç yollarında olduğu ifade ediliyor.Kuzeyormanları.org isimli internet sitesinde yer alan” 3. Havalimanı Projesi” isimli bir dokümanda Atatürk Havalimanı ve İstanbul Havalimanı üzerinden geçen kuş sayılarına ilişkin bir tablo yer alıyor.Vimeo’ya yüklenen görüntülerde de GPS takibi yapılan leyleklerin İstanbul Boğazı üzerinden Afrika’ya gittiği fark edilebiliyor.	doğru
773	CNN’in Kanada’daki yangını “Ukrayna’daki patlama” olarak gösterdiği iddiası	"CNN, canlı yayınını Ukrayna’nın Lviv şehrinden yaptı.
Yayında görülen itfaiyecinin montunda yazan “Edmonton” yazısı, Kanada’nın Edmonton şehrinde bulunan bir grup gönüllü itfaiyecinin, Ukrayna’ya yardım göndermek için kurduğu projenin (Firefighter Aid Ukraine) faaliyetini gösteriyor.
Gönüllü itfaiyeciler bu montları kolileyip Ukrayna’ya göndermeden önce yazıların çıkarıldığını fakat bazılarının unutulmuş olabileceğini söylüyor."	yanlış
193	Suudi Arabistan’ın TL’yi değersiz para ilan ettiği ve kurdan çıkardığı iddiası	Ekonomi haberlerinde bu iddiayı destekleyen herhangi içerik yok ya da böyle bir gündem yok.Suudi resmi kurumların sitelerinde bu yönde bir açıklamaya rastlanmıyor.Suudi Arabistan’da finansla ilgili sitelerin hepsinden Türk Lirası’nın değerine ulaşılabiliyor.	yanlış
388	Türkiye yalan haber sıralamasında birinci iddiası	İddia 2018 yılında yayınlanan rapora göre doğrudur. Diğer anketlere baktığımızda Türkiye’de kişilerin sıkça yalan habere rastladığını görmekteyiz. Aynı zamanda medyaya güven konusunda Türkiye daha üst sıralardadır.	doğru
852	Taksim saldırısıyla ilgili önergenin AK Parti ve MHP oylarıyla reddedildiği iddiası	"HDP, Taksim saldırısının araştırılmasına yönelik bir Meclis araştırma önergesi verdi.Önergenin dilekçesinde ""iktidarın Suriye dış politikası bağlamında ÖSO-HTŞ vb. yapılarla olan ilişkileri ve bunun siyasal-toplumsal etkilerinin araştırılması"" ifadesine yer verilmiş. Önergede Taksim saldırısının araştırılmasına da değiniliyor.Genel Kurul tutanaklarında önergenin reddedildiği anlaşılıyor.Oylamaya ilişkin görüntüler incelendiğinde de AK Parti ve MHP'nin ret oyu verdiği tespit edilebiliyor."	doğru
169	UNESCO’nun ‘yaşlılık tanımı’ yok	Yaşlılığın tanımları yapılan çalışmanın alanına ve tanımlayan kuruma göre değişse de UNESCO’nun yaşlılığı iddiadaki gibi tanımladığına dair bir kanıt bulunamamıştır. Dolayısıyla, iddia yanlıştır.	yanlış
705	THK 5 uçağının Kopenhag Müzesi’nde sergilendiği iddiası	18.11.1961 Aalborg inişinde hasar görmüş ve Hals şehrindeki oyun alanına bırakılmış.Kalıntıları 1965 yılında yakılmış.Kopenhag Müzesinde sergilendiğine dair bir bilgi yok.	yanlış
140	Muhittin Böcek'in su ve toplu taşımaya zam yapıp evde bakım hizmetlerini kaldırdığı iddiası	Antalya Su ve Atıksu İdaresi Genel Müdürlüğü’nün (ASAT) geçen yıl sonunda belirlenen 2019 tarifelerinde bir güncelleme söz konusu değil.Antalya Ulaşım Anonim Şirketi, toplu taşıma fiyatlarını değiştirmemiş. Evde bakım hizmeti ise Antalya Büyükşehir Belediyesi’ne bağlı Sağlık İşleri Müdürlüğü bünyesinde devam ediyor.	yanlış
173	16. yüzyılda Osmanlı Donanması’nda büyük yelkenli gemi (Kalyon) yoktu iddiası	16. yüzyılda Osmanlı donanmasında kalyon tipi büyük yelkenli gemilerin görülmediği ve dolayısıyla ES Yapım tarafından hazırlanan ‘Barbaroslar’ dizisinin ilk tanıtım filminde gösterilen gemilerin tarihi gerçeklerle uyuşmadığı iddiası doğru.	doğru
6	"Diyanet İşleri Başkanlığı'nın ""Çocuklara zeka geliştirici oyuncaklar vermeyin"" açıklamasında bulunduğu iddiası"	İddiayı paylaşan Kaparoz, parodi bir site.Diyanet İşleri Başkanlığı'nın resmi internet sitesinde böyle bir açıklama yok.Diyanet İşleri Başkanlığı Basın Müşaviri Burak Orhan da iddianın parodi bir paylaşıma dayandığını ve doğru olmadığını açıkladı.	yanlış
745	Bir köpeğin yeni koronavirüs nedeniyle öldüğü iddiası	Hong Kong’da yaşayan köpek hayatını kaybettiğinde 17 yaşındaydı ve Covid-19 kan testleri negatif çıkmıştı.Sahibi otopsi yapılmasını istemediğinden ölüm sebebi tam olarak bilinmese de, köpek Covid-19 pozitif değildi.Teyit konuyla ilgili SPCA’ya ulaştı. Yetkili, köpeğin solunum yollarında sahibinden geçmiş düşük seviyede virüse rastlandığını, ancak köpeğin hiçbir Covid-19 belirtisi göstermediğini ve kan testlerinin de negatif çıktığını yazdı.	yanlış
478	Bir Facebook hesabı tarafından 25 Eylül 2022 tarihinde yapılan paylaşımda Tekirdağ Şarköy’de vatandaşların şarap çeşmesi yaptırdığı iddia edildi.	Bir Twitter hesabı tarafından yapılan paylaşımda Tekirdağ Şarköy’de vatandaşların şarap çeşmesi yaptırdığı söz konusu görsel 2008 yılında internete yüklenmiş. Fotoğrafın açıklamasında İtalya’nın Veneto bölgesinde çekildiği ifadesi yer alıyor. Söz konusu paylaşım parodi amacıyla paylaşılmış.	yanlış
73	Bülent Ecevit'in 17 Ağustos depreminde afet bölgesine günler sonra gittiği iddiası	Dönemin gazetelerinde Başbakan Bülent Ecevit’in 17 Ağustos 1999’da bölgeye gittiğine ilişkin haberler mevcut.Anadolu Ajansı’nın fotoğraf arşivinde Başbakan Bülent Ecevit’in deprem bölgesinde çekilmiş fotoğrafları bulunuyor.Dönemin TRT muhabiri Devrim Gürkan, Ecevit’in TRT mikrofonuna Sakarya Valiliği önünde demeç verdiğini açıkladı.Hulki Cevizoğlu, Başbakan Bülent Ecevit’in deprem bölgesinde olmadığı iddiasını, “Devlet orada yoktu” şeklinde değiştirdi.	yanlış
910	Nursel Reyhanlıoğlu'nun abisinin eski Kahramanmaraş İl Tapu Kadastro Müdürü olduğu iddiası	Açık kaynaklardan edinilen bilgilere göre Nursel Reyhanlıoğlu’nun Fatih Kocabaş adında bir kardeşi bulunuyor.Fatih Kocabaş Mekansal Planlama Genel Müdürlüğü Harita ve Emlak Dairesi Daire Başkanlığı görevinde bulunmuş.Fatih Kocabaş Kahramanmaraş Kadastro Müdürlüğü görevini de yürütmüş.	doğru
813	Wuhan'da Covid-19 tedavisi gören doktorların ten renginin değiştiği iddiası	Covid-19 tedavisi sonrası iyileşen iki doktorun ten rengi koyulaştı ancak bu durum geçici.Tedavi sonrasında doktorların ten renginin yeniden normale döndüğü anlaşıldı.	doğru
238	Uğur Şahin yıl sonuna kadar 1 trilyon doz değil, 3 milyar doz aşı üretileceğini açıkladı	BioNTech ve Pfizer’in önceki açıklamalara göre bir trilyon aşı üretimi çok uçuk bir sayı. Daha önceki açıklamalarda aşı üretiminde 2021 için 3 milyar, 2022 için 4 milyar hedeflenmişti.Türk İmmünoloji Derneği de Uğur Şahin’in yıl sonuna kadar 3 milyar doz aşı (bir trilyon değil) üretmeyi planlandıklarını söylediğini açıkladı.İddiayı haber yapan bazı haber siteleri haberlerinde düzeltme yaptı. İddianın kaynağı olarak verilen Anadolu Ajansı’da kendi haberinde bir trilyon ifadesini değil, üç milyar ifadesini kullandı.	yanlış
145	Bakan Pakdemirli'nin patates firmasında danışmanlık yaptığı iddiası	Bakan Pakdemirli’nin 2013-2018 yılları arasında Kanada merkezli McCain şirketinde “iş geliştirme danışmanı” olarak çalışmış.Şirket şu an için Türkiye’ye taze patates ithalatı gerçekleştirmiyor.	doğru
792	Türkiye bu sene dünyanın en büyük 20 ekonomisinden biri olmayabilir	Faik Öztrak’ın kaynak gösterdiği IMF Ekim 2021 Ekonomik Görünüm Raporu’nda 2021 yılında Türkiye ilk 20 ekonomi içine girmemektedir.	doğru
234	Japonya’da salgının ivermektinle bitirildiği ve aşılamanın durduğu iddiası	Japonya’da aşılama devam ediyor. Ülkenin yüzde 73’ü tam aşılı.Ülkenin resmi Covid-19 tedavi protokolünde ivermektin yer almıyor.İvermektin, Covid-19’a karşı etkinliği gözlemlenmediği için onay almamış ilaçlardan biri.	yanlış
220	Kaşıkçı Elması’nın Topkapı Sarayı’ndan çalındığı iddiası	Milli Saraylar İdaresi Başkanlığı Kaşıkçı Elması’nın Topkapı Sarayı’nın Dış Hazine bölümünde sergilendiğini açıkladı.10 Mayıs tarihinde turistlerin Kaşıkçı Elması’nı paylaştığı fotoğraflara ulaşılabiliyor.Topkapı Sarayı Daire Başkanı İlhan Kocaman 12 Mayıs’ta eserin önünde basın toplantısı düzenledi.	yanlış
923	İrlanda Sağlık Bakanlığı’nın aşı ile ilgili ani ölüm uyarısı içeren bir afişi yok	Afiş, İrlanda Sağlık Bakanlığı’nın mevcut afiş tasarımları taklit edilerek oluşturulmuş sahte bir görsel. Afişte yer alan logo, orijinali ile bağdaşmıyor. Nitekim afişin sahte olduğu, ilgili kurum sözcüsü tarafından teyit edildi. İrlanda Sağlık Ürünleri Düzenleme Kurumu ve İrlanda’nın sağlık hizmetlerini yöneten kurum tarafından ‘ani ölümün’ Covid-19 aşılarının yan etkilerinden biri olduğuna dair herhangi bir resmi bildirim mevcut değil.	yanlış
500	"Mansur Yavaş'ın canlı yayında ""Apo bey"" dediği iddiası"	"Mansur Yavaş’ın tam cümlesi şöyle: “Bunlar da (HDP) kendi tabanlarından oy almak için, artık ne amaçla yapıyorlarsa, işte ‘Apo bey şeyden çıkacak’ falan filan diyorlar.""Mansur Yavaş “Apo bey” derken kendi hitap şeklini değil, bir başkasının aktarımını dile getiriyor.Mansur Yavaş programın devamında Abdullah Öcalan için “bebek katili” ifadelerini kullanıyor."	yanlış
132	Koronavirüsün akıl sağlığını tehdit ettiği iddiası	Yapılan araştırma, sadece Amerika Birleşik Devletleri’ni kapsadığı için sosyo ekonomik çeşitlilik açısından yeterli bir örnekleme sahip değil.İyileşme sonrası gelişen kaygı bozukluklarının sebebi henüz bilinmiyor.Covid-19’un psikolojik etkisinin anlaşılması için daha çok çalışmaya ihtiyaç var.	yanlış
990	Bir Facebook hesabı tarafından 11 Aralık 2022 tarihinde yapılan paylaşımda Portekizli eski milli futbolcu Luis Figo’nun, 2022 Dünya Kupası’nda Cristiano Ronaldo’yu yedek bırakması üzerine Portekiz teknik direktörü Fernando Santos’a şarlatan dediği iddia edildi.	Bir Facebook hesabı tarafından Portekizli eski milli futbolcu Luis Figo’nun, Portekiz’in mağlup olduğu Fas karşılaşmasında Cristiano Ronaldo’yu yedek bırakması üzerine teknik direktör Fernando Santos’u eleştirerek şarlatan dediği iddia edilmişti. Figo’nun Santos’u eleştirdiğine dair iddia Kolombiyalı bir spor gazetesi tarafından ortaya atılmış. Figo, resmi Twitter hesabından gazeteciye ve iddiayı paylaşan hesaplara cevap vererek yalanlamış.	yanlış
774	Kuran tilavetinin 2022 Dünya Kupası açılışından olduğu iddiası	Görüntüler Al-Thumama stadyumu için 22 Ekim 2021 tarihinde yapılan açılış töreninden.2021 yılında stadyum açılışına dair görüntüler sosyal medyadaki iddia görüntülerle uyuşuyor.	yanlış
185	PTT'nin bekçi alımı için ücreti 250 TL olan bir sınav yaptığı ve bu sınava 350 bin kişinin başvurduğu iddiası	Bekçi alımları sadece Emniyet Genel Müdürlüğü tarafından gerçekleştiriliyor.2019/2. Dönem Çarşı Ve Mahalle Bekçiliği başvuruları 18 Mart – 1 Nisan 2019 tarihleri arasında gerçekleşti ve sınav ücreti 130 TL idi.PTT ise Çarşı Ve Mahalle Bekçiliği alımı gerçekleştirmedi. PTT’de çeşitli pozisyonlarda çalışacak kişiler için açılan 2018/1 personel alımı için sınav ücreti 60 TL idi ve bu sınava 115 binden fazla kişi başvurmuştu.	yanlış
41	Suudi iş insanının oğluna yanlışlıkla iki uçak aldığı iddiası	İddia konusu haber parodi amaçlı oluşturulmuş.Hindistan’daki teyit platformu BOOM Live ve ABD’deki teyit platformu Snopes da bu haberin hiciv amaçlı hazırlandığını ve gerçek olmadığını ifade etti.	yanlış
696	Mustafa Kılıç’ın depremi bilimsel yollarla tahmin ettiği iddiası	Depremler atmosferle ilgili değil, tektonik olaylardan kaynaklanıyor.Bulutlar ve deprem arasındaki ilişkiyi açıklamaya yönelik çalışmalar üzerinde bilimsel konsensüs yok.Depremleri tahmin etmenin kesin ve net bir yolu bulunmuyor.İddiaları ortaya atan Mustafa Kılıç da paylaşımlarının şahsi ve kanıtlanmamış bir “varsayımın” parçası olduğunu açıkladı.	yanlış
108	Paris'te sokak yıkanan suda yeni koronavirüs tespit edildi diye çatışma çıktığı iddiası	Paris’teki çatışmanın nedeni, şehir suyunda virüs tespit edilmesi değil.Polislerin Müslüman bir gence uygulaması nedeniyle çatışma yaşandı.	yanlış
588	Bir Twitter hesabı tarafından 23 Mayıs 2022 tarihinde yapılan paylaşımda, World Economic Forum’un (WEF) kendi polis gücüne sahip olduğu iddia edildi. 	Bir Twitter hesabı tarafından yapılan paylaşımda WEF’in kendi polis gücünün olduğu iddia edilmişti. Ancak World Economic Forum’un (WEF), her yıl İsviçre’nin Grabünden kantonundaki Davos kasabasında düzenlediği ve çeşitli sektörlerden liderlerin bir araya geldiği yıllık toplantısı İsviçre’nin Graubünden Eyaleti’ne bağlı devletin polis gücü ile korunuyor. WEF’e ait ise özel bir polis gücü bulunmuyor. Polislerin kollarındaki “World Economic Forum” yazan rozetler ise her sene etkinliğe özel olarak tasarlanıyor ve yalnızca toplantı süresince toplantıda görevli polisler tarafından kullanılıyor.	yanlış
56	"""Uzaktan Seviyorum Seni"" şiirinin Cemal Süreya’ya ait olduğu iddiası"	Cemal Süreya’nın bütün şiirlerinin toplandığı eserde bu şiir yer almıyor.Can Yayınları Yönetici Editörü Emrah Serdan, şiirin Süreya’ya ait olmadığını doğruladı.Süreya’nın bibliyografyası konusunda uzman olan Prof. Dr. Mehmet Can Doğan da şiirin Süreya’ya ait olmadığını ifade etti.Açık kaynaklardan şiirin kime ait olduğuna dair güvenilir bir bilgiye ulaşılamıyor.	yanlış
405	"Bir Twitter hesabı tarafından 22 Temmuz 2022 tarihinde yapılan paylaşımda Arda Turan’ın ""Hayatında Orhan Veli Gencebay'ın kitabını eline almamış, okumamış adamlar bana cahil diyor."" şeklinde bir açıklaması olduğu iddia edildi."	"Bir Twitter hesabı tarafından paylaşılan gönderide Arda Turan’ın ""Hayatında Orhan Veli Gencebay'ın kitabını eline almamış, okumamış adamlar bana cahil diyor."" şeklinde bir açıklaması olduğu iddia edilmişti. Kısa sürede hızla yayılan gönderiye dair detaylı bir arama motoru araştırması, iddiaların parodi ve mizah temalı içerikleriyle öne çıkan tek bir hesap tarafından paylaşıldığını gösteriyor. Arda Turan’ın böyle bir ifadesi olduğuna yönelik başka bir kanıt olmadığı gibi, iddialarda yer alan ifadeler 2017 yılında da Melih Gökçek’e atfedilmiş."	yanlış
442	Bir Facebook hesabından 3 Ağustos 2021’de yapılan paylaşıma göre, Supertanker adında bir yangın söndürme uçağının dünyanın en büyük yangın söndürme uçağı olduğu ve kâr getirmediği gerekçesiyle piyasadan çekildiği iddia edildi. Paylaşımı 90 binden fazla kişi beğenmiş ve 24 binden fazla kişi paylaşmış.	Bir Facebook hesabında yapılan paylaşımda Supertanker adında bir yangın söndürme uçağının dünyanın en büyük yangın söndürme uçağı olduğu ve kâr getirmediği gerekçesiyle piyasadan çekildiği iddia edilmişti. Üretici şirketin internet sitesinde yer alan bilgide uçağın 19 bin galon su taşıma kapasitesiyle bu alanda kendisine en yakın uçağın iki katı kadar su taşıyabildiği görülüyor. Fakat CNN’de yer alan habere göre, uçak kâr getirmediği için piyasadan çekilmiş.	doğru
757	6 Şubat depremlerinde Hatay’ın Erzin ilçesinde hiçbir binanın yıkılmadığı iddiası	Çevre, Şehircilik ve İklim Bakanlığı’nın hasar tespiti için kullandığı Hasar Tespit Sorgulama sayfasındaki bilgilere göre 15 Şubat 2023 itibariyle Erzin ilçesinde yıkılan bina yok.Planet Labs’ten edindiğimiz uydu görüntülerinde de yıkılan bir bina olmadığı görülüyor.	doğru
997	WhatsApp'ın değiştirdiği gizlilik sözleşmesi hakkındaki iddialar	WhatsApp 4 Ocak 2021’de yeni kullanım koşulları ve gizlilik ilkelerini yayınladı.WhatsApp yayınladığı ilkelerde kullanıcının kabul etmesi halinde Facebook şirketleriyle kullanıcı verileri paylaşılabileceğini belirtiyor.Kullanıcılar 8 Şubat’a kadar metni onaylamazsa WhatsApp’ı kullanamayacak.WhatsApp'ın Facebook'la bilgi paylaşımı 2016'dan beri devam ediyor. Ancak yeni ilkeler ile bunu reddetme hakkınız elinizden alınıyor.WhatsApp gizlilik ilkeleri güncellemesiyle ilgili geri adım atmadı.Rekabet Kurulu Facebook ve WhatsApp hakkında resen soruşturma başlattı.WhatsApp 15 Ocak 2021'de bir açıklama yaparak 8 Şubat tarihini 15 Mayıs olarak güncelledi.Rekabet Kurumu 21 Mayıs 2021 tarihinde bir açıklama yayınlayarak, WhatsApp'ın veri paylaşımını içeren güncellemesinin Türkiye'de yürürlüğe girmeyeceğini belirtti.	doğru
24	Tunç Soyer'in depreme tedbir için sokakta Atatürk heykeli dolaştırdığı iddiası	"Fotoğraf güncel değil, 26 Aralık 2017'den.Fotoğrafta görülen kişi eski Mersin Toroslar ilçe belediye başkanı Hamit Tuna.Görselde ""Dünya figürü üstündeki Atatürk heykeli"" yerleştirileceği yere taşınıyor."	yanlış
467	Seçimde oy kullanabilmek için 14 Şubat’a kadar adres değişikliği yapılması gerektiği iddiası	YSK seçim tarihini açıklamadı. Dolayısıyla 14 Şubat uyarısı da yapmadı.İkametgahın seçimden dört ay önce değiştirilmesi söz konusu değil.Adres bilgisinin seçimden üç ay önce değiştirilmesi şartı ise yalnızca yerel seçimlerde geçerli.YSK’nın sitesindeki yerleşim yeri bilgilerine göre askı listelerinin askıya çıkarılma ve askıdan indirilme tarihleri arasında adres değişikliği yapılabiliyor.	yanlış
539	Esnafın CHP önünde ekonomik kriz ve yüksek fatura eylemi yaptığı iddiası	Video 5 Aralık 2022’de CHP Genel Merkezi önünde toplanan bazı özel halk otobüslerini işleten esnafı gösteriyor.Tüm Özel Halk Otobüsleri Kooperatifleri Birliği Yönetim Kurulu üyesi Kasım Bozkurt, bir ay önce ABB Başkanı Mansur Yavaş’a araçların belediye tarafından kiralanması konusunu ilettiklerini, geçen hafta da CHP Genel Merkezi’nden bu konuda randevu talep ettiklerini ancak muhatap bulamadıklarını belirtmiş.Ankara Büyükşehir Belediyesi, CHP’li belediye olduğu için özel halk otobüsü şoförleri de parti genel merkezine giderek eylem yapmışlar.	yanlış
531	Kırgızistan’da hiç kanser görülmediği iddiası	2021 yılında Kırgızistan’da tanısı konulan kanser hastası sayısı 5 bin 746.Kırgızistan’da en çok görülen kanser türleri arasında listenin ilk sırasında meme kanseri yer alıyor.Kırgızistan, kanser istatistiklerinde tüm dünya ülkeleri arasında yüz yirmi sekizinci sırada yer alıyor.	yanlış
618	Ankara’daki banliyö trenlerinin kaplanarak Gaziray için kullanıldığı iddiası	E23000 modeli, TCDD için üretilen elektrikli tren modelinin genel adı ve Türkiye’de 2009’dan bu yana 32 adet trenle hizmet veriyor.Bu 32 adet trenden oluşan filonun birimleri farklı şehirlerdeki banliyö hatlarına da farklı zamanlarda kiralanmıştı. Söz konusu tren de daha önce Adapazarı ve Ankara’daki hatlarda kullanılmıştı.TCDD’nin eylül ayında yayımladığı şartname, 4 adet E23000’ın Gaziray’da kullanılacağını gösteriyor.Gaziantep Belediyesi Basın Birimi ile iletişime geçtik. Gaziray trenlerinin üretiminde gecikme olduğu için Başkentray’dan 4 setin kiralandığını belirttiler.	doğru
